School,WLper,SOS,Pace,ORtg,FTr,3PAr,Tsper,TRBper,ASTper,STLper,BLKper,eFGper,TOVper,ORBper,FTperFGA,oPace,oORtg,oFTr,o3PAr,oTsper,oTRBper,oASTper,oSTLper,oBLKper,oeFGper,oTOVper,oORBper,oFTperFGA,Year
UNC Asheville,0.643,-2.45,72.5,105.9,0.36,0.371,0.584,50.9,47.1,9.7,10.4,0.564,19.4,28.6,0.24,72.5,99.4,0.23,0.334,0.517,49.1,47.9,11.8,10.9,0.486,16.3,29.3,0.174,2022-2023
UNC Greensboro,0.5,-0.47,69.3,101.5,0.301,0.394,0.529,52.3,60.5,9.4,7.1,0.495,16.6,30.4,0.218,69.3,93,0.301,0.405,0.488,47.7,50.2,8.8,8.7,0.451,17.2,26.9,0.214,2022-2023
UNC Wilmington,0.786,2.1,65.3,108.3,0.368,0.349,0.542,50.6,45,10.6,9.1,0.508,14.3,31.6,0.257,65.3,96,0.377,0.357,0.508,49.4,43.1,7.1,7.1,0.471,18.3,30.4,0.255,2022-2023
UT Arlington,0.357,3.46,68.2,98.2,0.352,0.335,0.486,53.8,49.8,10.4,10,0.449,16.6,37.6,0.237,68.2,93.7,0.327,0.389,0.504,46.2,53.2,8.6,8.4,0.473,18.9,28.5,0.22,2022-2023
Utah,0.714,1.12,68.7,106.2,0.328,0.339,0.546,54.8,56.4,7.1,14,0.519,16.2,32.4,0.225,68.7,87.4,0.278,0.362,0.434,45.2,48.9,10,8.7,0.402,13.8,27,0.18,2022-2023
Utah State,0.846,4.75,72.1,116.9,0.344,0.441,0.62,53.4,64.7,6.8,9.8,0.594,14.9,25.7,0.254,72.1,98.2,0.322,0.349,0.517,46.6,48.1,7.4,7,0.475,14.9,22.3,0.241,2022-2023
Utah Tech,0.643,0.02,71.3,109.7,0.407,0.408,0.57,54.6,55.7,11,7.3,0.536,16.5,32.6,0.288,71.3,97.8,0.315,0.395,0.55,45.4,54,7.3,9.2,0.515,19.4,22.2,0.236,2022-2023
Utah Valley,0.714,2.14,70.8,106.7,0.368,0.39,0.547,51.8,61.4,10.2,15.1,0.507,15.2,29.7,0.272,70.8,93.1,0.256,0.342,0.473,48.2,47.6,8,8.5,0.448,15.3,28.9,0.164,2022-2023
UTEP,0.615,2.2,69.8,96.4,0.474,0.306,0.525,51.3,52.1,12.5,8.5,0.499,19.7,31.1,0.288,69.8,91.4,0.358,0.378,0.503,48.7,44.8,11.9,6.9,0.459,21.3,29.4,0.26,2022-2023
UTSA,0.462,-2.46,69.2,98.6,0.363,0.414,0.523,48.6,53.5,5.9,7.2,0.482,17.7,28.2,0.262,69.2,104.4,0.314,0.343,0.517,51.4,51.9,10.8,12.8,0.484,13.4,31.1,0.219,2022-2023
