School,WLper,SOS,Pace,ORtg,FTr,3PAr,Tsper,TRBper,ASTper,STLper,BLKper,eFGper,TOVper,ORBper,FTperFGA,oPace,oORtg,oFTr,o3PAr,oTSper,oTRBper,oASTper,oSTLper,oBLKper,oeFGper,oTOVper,oORBper,oFTperFGA,Year
Fairfield,0.455,-4.09,65.5,102.5,0.261,0.391,0.527,50.2,48,8.2,7.8,0.5,14.6,27.8,0.184,65.5,99.7,0.306,0.303,0.509,49.8,42.3,8.1,9.9,0.476,14.9,27.7,0.214,2021-22
Fairleigh Dickinson,0.154,-6.21,70.4,94.6,0.278,0.354,0.497,46.1,48.6,9.1,7.6,0.464,16.9,27.7,0.197,70.4,111.4,0.341,0.351,0.566,53.9,57.5,9,10.4,0.538,15.6,34.1,0.238,2021-22
Florida,0.588,7.84,66.8,104.9,0.338,0.458,0.534,49,52.7,12.4,13.5,0.496,15.8,31.5,0.248,66.8,98.9,0.304,0.329,0.524,51,49.1,11.3,8.6,0.494,18.7,32.5,0.212,2021-22
Florida A&M,0.433,-6.7,67.3,95.9,0.289,0.265,0.502,46.7,49.1,9.2,8.5,0.468,16.2,26.2,0.204,67.3,101.4,0.382,0.355,0.519,53.3,51.9,9.1,5.2,0.485,16.2,33.6,0.256,2021-22
Florida Atlantic,0.559,-1.82,68.7,107.4,0.284,0.424,0.554,53.1,50.1,10.7,7.8,0.527,16.1,31.5,0.203,68.7,98.7,0.31,0.34,0.534,46.9,44.3,8.7,8.8,0.505,17.8,24.8,0.215,2021-22
Florida Gulf Coast,0.647,-4.91,70.3,108.1,0.289,0.477,0.558,52.6,56.6,9.3,12.3,0.537,16.2,31.1,0.195,70.3,102.5,0.241,0.38,0.522,47.4,49.7,9.4,7.1,0.5,14.1,27.1,0.163,2021-22
Florida International,0.469,-3.27,69,100.6,0.248,0.465,0.535,48.9,54.5,9.1,11.1,0.511,17.4,27,0.174,69,101.1,0.312,0.388,0.526,51.1,53,10.1,9.7,0.492,16.4,29.6,0.222,2021-22
Florida State,0.548,7.32,68.6,102.7,0.303,0.341,0.522,49.8,55.7,12.3,14.8,0.49,15.5,31.6,0.214,68.6,104.1,0.304,0.423,0.551,50.2,55.1,8.5,7.8,0.522,18.1,31,0.216,2021-22
Fordham,0.5,-0.2,68.6,94.8,0.297,0.427,0.496,49.9,51.4,10.5,9.9,0.457,16.5,27,0.216,68.6,95.8,0.304,0.345,0.509,50.1,49.2,8.3,9.6,0.48,17.3,26.2,0.207,2021-22
Fresno State,0.639,1.94,62.4,104.2,0.311,0.387,0.542,52.8,50.4,9.6,9.4,0.511,15.5,27.7,0.221,62.4,93.5,0.272,0.422,0.508,47.2,49.9,8.7,6.5,0.478,17.5,22.5,0.191,2021-22
Furman,0.647,-1.44,66.1,115,0.226,0.517,0.585,49.8,62.5,12.2,9.7,0.562,13.7,27.7,0.171,66.1,101.7,0.243,0.366,0.54,50.2,51.3,8.7,9.9,0.513,16.9,27.8,0.177,2021-22
Gardner-Webb,0.581,-4.43,69.7,99.7,0.287,0.396,0.536,52,52.2,10.4,14.6,0.509,17.2,25.3,0.201,69.7,92,0.347,0.416,0.494,48,51.7,9.4,8.8,0.448,16.8,22.2,0.255,2021-22
George Mason,0.467,1.98,66.6,104,0.291,0.465,0.553,51.3,56.5,7.4,9.7,0.529,16.1,25,0.202,66.6,100.7,0.296,0.422,0.53,48.7,49.9,10,9.4,0.496,15.2,23.6,0.217,2021-22
George Washington,0.4,0.4,69.7,96.9,0.26,0.358,0.516,46.2,48.5,9.8,10.5,0.489,16,23.2,0.181,69.7,103.3,0.293,0.345,0.527,53.8,50.3,9.5,10.8,0.496,15.5,31.1,0.21,2021-22
Georgetown,0.194,8.03,71,99.5,0.29,0.36,0.501,50.1,47.5,10.1,10.9,0.462,15.9,32.3,0.216,71,108.4,0.276,0.416,0.563,49.9,61,9.7,11.4,0.536,15.8,29.9,0.2,2021-22
Georgia,0.188,8.06,69.8,100,0.39,0.37,0.546,48.4,58.2,7.5,5.9,0.502,18.4,25.6,0.292,69.8,112.4,0.241,0.411,0.567,51.6,56.2,11.2,14.7,0.546,13.7,30.1,0.173,2021-22
Georgia Southern,0.448,-3.04,67.1,98.2,0.303,0.35,0.527,50,48.6,11,10.1,0.5,18.5,28.6,0.206,67.1,96.9,0.338,0.389,0.508,50,49.5,11.1,7.8,0.473,17.5,29.5,0.233,2021-22
Georgia State NCAA,0.621,-1.34,68.6,101.7,0.295,0.371,0.498,50.7,54.2,12.7,12.8,0.461,14.1,33.9,0.213,68.6,94.6,0.314,0.367,0.515,49.3,56.2,9,8.9,0.484,20.3,30.3,0.216,2021-22
Georgia Tech,0.375,6.08,68.6,98.4,0.247,0.346,0.527,49,53.2,11.2,7.2,0.502,16.7,25.7,0.172,68.6,101.5,0.319,0.388,0.531,51,59.1,9.5,8.5,0.497,16.5,27.9,0.229,2021-22
Gonzaga NCAA,0.875,4.5,73.8,118.1,0.306,0.353,0.608,55.7,55.3,8.7,13.4,0.587,13.9,29.1,0.219,73.8,89.7,0.227,0.333,0.461,44.3,41.3,8.2,7.1,0.431,14.3,23.4,0.159,2021-22
Grambling,0.375,-5.08,70.5,92.8,0.33,0.281,0.491,48.2,46.7,9.4,9.1,0.451,17.6,27.9,0.234,70.5,100.8,0.391,0.359,0.521,51.8,51.8,10.1,10.9,0.484,16.9,31.1,0.268,2021-22
Grand Canyon,0.742,-2.57,67.7,105,0.31,0.395,0.527,54.1,50.5,9.8,5.9,0.5,16.2,34.7,0.21,67.7,90.4,0.317,0.345,0.471,45.9,43.1,8.6,8.5,0.432,16.7,27.1,0.219,2021-22
Green Bay,0.167,-5.44,64.9,95.1,0.316,0.347,0.505,48.4,48.2,7.7,7.9,0.468,17.4,27.3,0.226,64.9,106.2,0.311,0.346,0.564,51.6,47.6,10.8,8.7,0.528,16.1,27.9,0.238,2021-22
Hampton,0.321,-6,69.2,92.7,0.361,0.349,0.493,46.6,46.5,7.4,10.3,0.451,16,23.1,0.253,69.2,99.5,0.364,0.338,0.5,53.4,46,8.7,8.3,0.465,14.7,31.2,0.241,2021-22
Hartford,0.375,-7.69,67.1,103.7,0.276,0.452,0.555,48.3,48.8,9,8.8,0.533,16.2,23.8,0.191,67.1,107.2,0.289,0.383,0.546,51.7,47.6,9.8,9.5,0.516,14.4,28.4,0.21,2021-22
Harvard,0.5,-4.2,69.7,101.1,0.263,0.428,0.528,49.8,43.6,10.8,7.3,0.503,15.4,25.4,0.182,69.7,97.8,0.307,0.395,0.547,50.2,51,8.9,8.7,0.515,19.3,23.1,0.224,2021-22
